,genres,keywords,tagline,cast,director,title,release_date,index
2072,Crime Drama,black people based on novel holocaust ghetto diary,Their story. Their world. Their future.,Hilary Swank Scott Glenn Imelda Staunton Patrick Dempsey Mario,Richard LaGravenese,Freedom Writers,2007-01-05,2072
2073,Drama,female nudity poem rape love domestic violence,Many voices. One poem.,Kimberly Elise Janet Jackson Loretta Devine Thandie Newton Anika Noni Rose,Tyler Perry,For Colored Girls,2010-11-05,2073
2074,Action Crime Thriller,car journey transportation auto human trafficking,Rules are made to be broken.,Jason Statham Shu Qi Fran\u00e7ois Berl\u00e9and Matt Schulze Ric Young,Louis Leterrier,The Transporter,2002-10-02,2074
2075,Drama Action,rebel martial arts underground fight training,Win or lose... Everyone has their fight.,Sean Faris Amber Heard Cam Gigandet Djimon Hounsou Evan Peters,Jeff Wadlow,Never Back Down,2008-03-04,2075
2076,Horror Thriller Science Fiction,suicide male nudity female nudity fire nudity,Looks Can Kill,Emily Bergl Jason London Amy Irving J. Smith-Cameron Dylan Bruno,Katt Shea,The Rage: Carrie 2,1999-03-11,2076
2077,Drama Comedy Romance,interracial relationship dead father reference to bob dylan biracial bedtime story,,John Krasinski Maya Rudolph Carmen Ejogo Catherine O'Hara Jeff Daniels,Sam Mendes,Away We Go,2009-06-05,2077
2078,Drama Comedy,usa president presidential election fox news,One ordinary guy is giving the candidates a reason to run.,Kevin Costner Madeline Carroll Paula Patton Kelsey Grammer Dennis Hopper,Joshua Michael Stern,Swing Vote,2008-08-01,2078
2079,Romance Drama,,,Jake Gyllenhaal Dustin Hoffman Susan Sarandon Aleksia Landeau Ellen Pompeo,Brad Silberling,Moonlight Mile,2002-09-09,2079
2080,Drama Thriller Mystery,spy cold war spying espionage mole,How do you find an enemy who is hidden right before your eyes?,John Hurt Gary Oldman Kathy Burke Benedict Cumberbatch Colin Firth,Tomas Alfredson,Tinker Tailor Soldier Spy,2011-09-16,2080
2081,Drama Comedy Romance,,Innocence is bliss. See the world through her.,Elisabeth Shue Aaron Eckhart Jill Hennessy Thomas Jane D.W. Moffett,John Duigan,Molly,1999-10-22,2081
2082,Drama,puppet woman director,He's here to save Walter's life.,Jodie Foster Mel Gibson Jennifer Lawrence Anton Yelchin Zachary Booth,Jodie Foster,The Beaver,2011-02-11,2082
2083,Comedy,brothel corset crusader musical governor,With Burt and Dolly this much fun just couldn't be legal!,Burt Reynolds Dolly Parton Dom DeLuise Charles Durning Jim Nabors,Colin Higgins,The Best Little Whorehouse in Texas,1982-07-23,2083
2084,Action Thriller Science Fiction Horror,video game hacker bodyguard pop star virtual reality,Play it. Live it. Kill for it.,Jennifer Jason Leigh Jude Law Ian Holm Willem Dafoe Don McKellar,David Cronenberg,eXistenZ,1999-04-14,2084
2085,Adventure Action,saving the world riddle nepal himalaya cairo,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Harrison Ford Karen Allen Paul Freeman Ronald Lacey John Rhys-Davies,Steven Spielberg,Raiders of the Lost Ark,1981-06-12,2085
2086,Comedy Family Adventure Crime,holiday new york new york city christmas,He's up past his bedtime in the city that never sleeps.,Macaulay Culkin Joe Pesci Catherine O'Hara Daniel Stern John Heard,Chris Columbus,Home Alone 2: Lost in New York,1992-11-19,2086
2087,Science Fiction Drama,indiana obsession extraterrestrial technology evacuation blackout,We are not alone.,Richard Dreyfuss Fran\u00e7ois Truffaut Teri Garr Melinda Dillon Bob Balaban,Steven Spielberg,Close Encounters of the Third Kind,1977-11-16,2087
2088,Horror Thriller,suicide hacker death of a friend website remake,You are now infected.,Kristen Bell Ian Somerhalder Christina Milian Rick Gonzalez Jonathan Tucker,Jim Sonzero,Pulse,2006-08-11,2088
2089,Action Comedy Crime,smuggling of arms detective intensive care undercover strip club,,Eddie Murphy Judge Reinhold John Ashton Ronny Cox Paul Reiser,Tony Scott,Beverly Hills Cop II,1987-05-18,2089
2090,Comedy,prison ex-boyfriend support escape lawyer,"Everything he needed to know about life, she learned in prison.",Steve Martin Queen Latifah Eugene Levy Joan Plowright Jean Smart,Adam Shankman,Bringing Down the House,2003-03-07,2090
2091,Crime Drama Thriller,based on novel psychopath horror suspense serial killer,To enter the mind of a killer she must challenge the mind of a madman.,Jodie Foster Anthony Hopkins Scott Glenn Ted Levine Anthony Heald,Jonathan Demme,The Silence of the Lambs,1991-02-01,2091
2092,Music Comedy,tv show heavy metal television producer woman director,You'll laugh. You'll cry. You'll hurl.,Mike Myers Dana Carvey Rob Lowe Tia Carrere Lara Flynn Boyle,Penelope Spheeris,Wayne's World,1992-02-14,2092
2093,Comedy Documentary Action,pain stunts stuntman stupidity comedy,Don't try this at home,Johnny Knoxville Bam Margera Ryan Dunn Steve-O Chris Pontius,Jeff Tremaine,Jackass 3D,2010-10-15,2093
2094,Horror Thriller,mayor island police chief sailing boat accident,Just when you thought it was safe to go back in the water...,Roy Scheider Lorraine Gary Murray Hamilton Joseph Mascolo Jeffrey Kramer,Jeannot Szwarc,Jaws 2,1978-06-16,2094
2095,Adventure Comedy Family,dog dirt chihuahua pinata potted plant duringcreditsstinger,50% Warrior. 50% Lover. 100% Chihuahua.,Drew Barrymore Piper Perabo Andy Garc\u00eda George Lopez Paul Rodr\u00edguez,Raja Gosnell,Beverly Hills Chihuahua,2008-10-03,2095
2096,Horror Thriller,sister sister relationship exorcism rhode island based on true story farmhouse,Based on the true case files of the Warrens,Patrick Wilson Vera Farmiga Lili Taylor Ron Livingston Shanley Caswell,James Wan,The Conjuring,2013-07-18,2096
2097,Adventure Comedy Family Romance,car journey macho road trip children pretty woman,24 hours. 350 miles. His girlfriend's kids. What could possibly go wrong?,Ice Cube Nia Long Aleisha Allen Philip Bolden Jay Mohr,Brian Levant,Are We There Yet?,2005-01-20,2097
2098,Comedy,,She hit the road. The road hit back.,Melissa McCarthy Susan Sarandon Kathy Bates Allison Janney Dan Aykroyd,Ben Falcone,Tammy,2014-07-02,2098
2099,Comedy Music,rock and roll rock high school music band,He just landed the gig of his life: 5th grade.,Jack Black Joan Cusack Mike White Sarah Silverman Adam Pascal,Richard Linklater,School of Rock,2003-10-03,2099
2100,Action Fantasy,martial arts monster island gore sorcerer,Nothing In This World Has Prepared You For This.,Christopher Lambert Robin Shou Linden Ashby Cary-Hiroyuki Tagawa Bridgette Wilson,Paul W.S. Anderson,Mortal Kombat,1995-08-18,2100
2101,Comedy,undercover fbi fish out of water high society buddy cop,They're going deep undercover.,Shawn Wayans Marlon Wayans Jaime King Frankie Faison Maitland Ward,Keenen Ivory Wayans,White Chicks,2004-06-23,2101
2102,Comedy Drama,hawaii father-in-law daughter cheating wife beach house,The South Pacific ain't that terrific.,George Clooney Shailene Woodley Amara Miller Nick Krause Robert Forster,Alexander Payne,The Descendants,2011-09-09,2102
2103,Adventure Family Drama Comedy,curse suitor false accusations reference to annabel lee digging,Some secrets are too big to keep hidden.,Sigourney Weaver Jon Voight Tim Blake Nelson Patricia Arquette Shia LaBeouf,Andrew Davis,Holes,2003-04-18,2103
2104,Drama Family Romance,brother sister relationship new love daughter summer vacation woman director,"A story about family, first love, second chances and the moment in life that lead you back home.",Miley Cyrus Greg Kinnear Bobby Coleman Liam Hemsworth Hallock Beals,Julie Anne Robinson,The Last Song,2010-03-31,2104
2105,Drama History,whip kidnapping slavery plantation night shift,The extraordinary true story of Solomon Northup,Chiwetel Ejiofor Michael Fassbender Lupita Nyong'o Benedict Cumberbatch Paul Dano,Steve McQueen,12 Years a Slave,2013-10-18,2105
2106,Drama Romance Comedy Music,music rehearsal fraternity initiation television broadcast white male pretending to be black sorority party,Half time is game time,Nick Cannon Zoe Saldana Orlando Jones Leonard Roberts GQ,Charles Stone III,Drumline,2002-12-13,2106
2107,Comedy Romance,,Marriage is an institution they're committed to.,Tyler Perry Janet Jackson Jill Scott Sharon Leal Malik Yoba,Tyler Perry,Why Did I Get Married Too?,2010-04-02,2107
2108,Fantasy Drama Romance,underdog love at first sight hairdresser small town scissors,His scars run deep.,Johnny Depp Winona Ryder Dianne Wiest Alan Arkin Anthony Michael Hall,Tim Burton,Edward Scissorhands,1990-12-05,2108
2109,Drama Romance,england based on novel depression small town wheelchair,#LiveBoldly,Emilia Clarke Sam Claflin Janet McTeer Charles Dance Brendan Coyle,Thea Sharrock,Me Before You,2016-06-02,2109
2110,Drama Comedy Crime,,"Believe it or not, they know too much.",Tyler Perry Eugene Levy Denise Richards Doris Roberts Devan Leos,Tyler Perry,Madea's Witness Protection,2012-06-29,2110
2111,Action Crime Thriller,police brutality marseille night life attempted murder drug dealer,There are no rules and no holds barred when Popeye cuts loose!,Gene Hackman Fernando Rey Roy Scheider Tony Lo Bianco Marcel Bozzuffi,William Friedkin,The French Connection,1971-10-09,2111
2112,Comedy,alcohol bar party divorce family,Party like a mother.,Mila Kunis Kristen Bell Kathryn Hahn Christina Applegate Jada Pinkett Smith,Jon Lucas,Bad Moms,2016-07-28,2112
2113,Comedy,date diary parents-in-law bridegroom wedding,An Unprotected Comedy,Alyson Hannigan Adam Campbell Sophie Monk Jennifer Coolidge Fred Willard,Jason Friedberg,Date Movie,2006-02-17,2113
2114,Adventure Fantasy Animation Family,animation,The Classic Continues,Harriet Owen Blayne Weaver Jeff Bennett Kath Soucie Corey Burton,Robin Budd,Return to Never Land,2002-02-14,2114
2115,History Drama,alabama martin luther king president black american civil rights,One dream can change the world.,David Oyelowo Tom Wilkinson Carmen Ejogo Andr\u00e9 Holland Omar J. Dorsey,Ava DuVernay,Selma,2014-12-25,2115
2116,Family Animation Adventure,river musical tiger village feral child,Feel the jungle beat,John Goodman Haley Joel Osment Mae Whitman Connor Funk Bob Joles,Steve Trenbirth,The Jungle Book 2,2003-02-07,2116
2117,Thriller Horror Drama Mystery,nightmare hallucination childhood trauma break-up hometown,You thought it was just a story.,Emily Deschanel Barry Watson Skye McCole Bartusiak Lucy Lawless Tory Mussett,Stephen T. Kay,Boogeyman,2005-02-04,2117
2118,Thriller Drama Mystery,deja vu dying and death time travel loss of husband car crash,Reality is only a nightmare away,Sandra Bullock Julian McMahon Courtney Taylor Burness Nia Long Shyann McClure,Mennan Yapo,Premonition,2007-02-08,2118
2119,Animation Family,owl donkey tiger piglet bear,,Jim Cummings Nikita Hopkins Ken Sansom John Fiedler Peter Cullen,Jun Falkenstein,The Tigger Movie,2000-02-11,2119
2120,Horror Thriller Mystery,nun deaf-mute orphan all girl troubled marriage,Can you keep a secret?,Vera Farmiga Peter Sarsgaard Isabelle Fuhrman CCH Pounder Jimmy Bennett,Jaume Collet-Serra,Orphan,2009-07-24,2120
2121,Adventure Drama Family,afghanistan war based on true story rescue betrayal,Best Friend. Hero. Marine.,Thomas Haden Church Josh Wiggins Lauren Graham Robbie Amell Mia Xitlali,Boaz Yakin,Max,2015-06-26,2121
2122,Action Adventure Comedy,,We know it's big. We measured.,Kal Penn Adam Campbell Jennifer Coolidge Jayma Mays Faune A. Chambers,Jason Friedberg,Epic Movie,2007-01-25,2122
2123,Drama Thriller History,child abuse journalism judge florida boston,Break the story. Break the silence.,Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber John Slattery,Tom McCarthy,Spotlight,2015-11-06,2123
2124,Drama Crime Thriller,vandalism harassment neighbor house party shot to death,What Could Be Safer Than Living Next to a Cop?,Samuel L. Jackson Patrick Wilson Kerry Washington Ron Glass Justin Chambers,Neil LaBute,Lakeview Terrace,2008-09-19,2124
2125,Horror Thriller,remake little boy curse,"What Was Once Trapped, Will Now Be Unleashed",Sarah Michelle Gellar Amber Tamblyn Edison Chen Arielle Kebbel Jennifer Beals,Takashi Shimizu,The Grudge 2,2006-10-13,2125
2126,Comedy Drama Romance,black people age difference jamaica vacation female protagonist,Sometimes you have to break the rules to free your heart.,Angela Bassett Taye Diggs Whoopi Goldberg Regina King Suzzanne Douglas,Kevin Rodney Sullivan,How Stella Got Her Groove Back,1998-08-14,2126
2127,Adventure Comedy Family Fantasy Science Fiction,future dying and death heaven time travel heavy metal,Once... they made history. Now... they are history.,Keanu Reeves Alex Winter George Carlin William Sadler Joss Ackland,Peter Hewitt,Bill & Ted's Bogus Journey,1991-07-19,2127
2128,Comedy Drama Romance Thriller,usa president presidential election comedian,Elections are made to be broken.,Robin Williams Christopher Walken Laura Linney Lewis Black Jeff Goldblum,Barry Levinson,Man of the Year,2006-10-09,2128
2129,Adventure Family Science Fiction Action,killer robot space marine ghost ship black hole,A journey that begins where everything ends!,Maximilian Schell Anthony Perkins Robert Forster Joseph Bottoms Ernest Borgnine,Gary Nelson,The Black Hole,1979-12-18,2129
2130,Crime Drama Thriller,prostitute sweden suspense priest very little dialogue,,George Clooney Violante Placido Thekla Reuten Paolo Bonacelli Johan Leysen,Anton Corbijn,The American,2010-08-31,2130
2131,Drama,musical tejano elopement bustier fan club,Discover the true story of one of America's brightest stars... that faded too soon.,Jennifer Lopez Edward James Olmos Constance Marie Jon Seda Lupe Ontiveros,Gregory Nava,Selena,1997-03-21,2131
2132,Horror Comedy,vampire high school prom spoof horror spoof,Some sagas just won't die.,Chris Riggi Matt Lanter Jenn Proske Ken Jeong Bradley Dodds,Jason Friedberg,Vampires Suck,2010-08-18,2132
2133,Drama,terror loss of mother gun morocco deaf-mute,If You Want to be Understood...Listen,Brad Pitt Cate Blanchett Gael Garc\u00eda Bernal Rinko Kikuchi Adriana Barraza,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,Babel,2006-09-08,2133
2134,Drama Comedy,based on novel funeral dysfunctional family death of father man child,Welcome Home. Get Uncomfortable.,Jason Bateman Tina Fey Adam Driver Rose Byrne Corey Stoll,Shawn Levy,This Is Where I Leave You,2014-09-10,2134
2135,Drama Mystery,sexual abuse boy wine gift janitor,"There is no evidence. There are no witnesses. But for one, there is no doubt.",Meryl Streep Philip Seymour Hoffman Amy Adams Viola Davis Alice Drummond,John Patrick Shanley,Doubt,2008-11-27,2135
2136,Music Adventure Animation Action Comedy,paris france cairo capitalism loss of lover,Putting The 'F' back in 'Freedom',Trey Parker Matt Stone Kristen Miller Masasa Moyo Daran Norris,Trey Parker,Team America: World Police,2004-10-10,2136
2137,Horror Thriller,sequel gore leatherface slasher chainsaw,Evil wears many faces.,Alexandra Daddario Dan Yeager Bill Moseley Marilyn Burns Tania Raymonde,John Luessenhop,Texas Chainsaw 3D,2013-01-03,2137
2138,Drama Thriller,police brutality psychology police operation police protection serial killer,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Sigourney Weaver Holly Hunter Will Patton William McNamara Harry Connick Jr.,Jon Amiel,Copycat,1995-10-27,2138
2139,Comedy,sequel parody spoof aftercreditsstinger duringcreditsstinger,Evil is coming. Bring protection.,Simon Rex Ashley Tisdale Charlie Sheen Lindsay Lohan Erica Ash,Malcolm D. Lee,Scary Movie 5,2013-04-11,2139
2140,Drama Action Comedy Western Music,mining prospector,Stake Your Claim To The Musical Goldmine of '69!,Lee Marvin Clint Eastwood Jean Seberg Harve Presnell Ray Walston,Joshua Logan,Paint Your Wagon,1969-10-15,2140
2141,History Drama,gay san francisco homophobia mayor biography,Never Blend In.,Sean Penn Emile Hirsch James Franco Josh Brolin Diego Luna,Gus Van Sant,Milk,2008-11-26,2141
2142,Action,christianity jesus christ apostle crucifixion jerusalem,Witness the manhunt that changed the course of human history,Tom Felton Cliff Curtis Joseph Fiennes Peter Firth Mark Killeen,Kevin Reynolds,Risen,2016-02-19,2142
2143,Horror Mystery Thriller,cruise pilot ghost ship,Sea Evil,Gabriel Byrne Julianna Margulies Desmond Harrington Ron Eldard Isaiah Washington,Steve Beck,Ghost Ship,2002-10-25,2143
2144,Comedy,holiday indian lead beer christmas tree cannabis,Christmas comes prematurely.,Neil Patrick Harris John Cho Elias Koteas Danneel Ackles Kal Penn,Todd Strauss-Schulson,A Very Harold & Kumar Christmas,2011-11-04,2144
2145,Crime Drama Mystery,upper class poison sailboat rape sexual abuse,They're dying to play with you.,Matt Dillon Kevin Bacon Denise Richards Neve Campbell Theresa Russell,John McNaughton,Wild Things,1998-03-20,2145
2146,Horror Thriller Mystery,step father remake,Daddy's home.,Dylan Walsh Sela Ward Penn Badgley Amber Heard Sherry Stringfield,Nelson McCormick,The Stepfather,2009-10-16,2146
2147,Drama Thriller,beach mossad secret agent insane asylum lye,Every secret comes with a price.,Helen Mirren Ciar\u00e1n Hinds Tom Wilkinson Jessica Chastain Sam Worthington,John Madden,The Debt,2010-04-11,2147
2148,Comedy Drama Romance Music,chicago music record rock and roll record store soul,"A comedy about fear of commitment, hating your job, falling in love and other pop favorites.",John Cusack Iben Hjejle Todd Louiso Jack Black Lisa Bonet,Stephen Frears,High Fidelity,2000-03-17,2148
2149,Horror Mystery Thriller,candy loss of sister mobile phone answering machine dying and death,What will it sound like when you die?,Shannyn Sossamon Edward Burns Ana Claudia Talanc\u00f3n Ray Wise Azura Skye,Eric Valette,One Missed Call,2008-01-04,2149
2150,Drama Thriller,rape gun self-defense grieving parents,What do you do when justice fails?,Sally Field Kiefer Sutherland Ed Harris Beverly D'Angelo Charlayne Woodard,John Schlesinger,Eye for an Eye,1996-01-12,2150
2151,Thriller Crime Drama,infidelity subway car dealer vault mannequin,,Jason Statham Saffron Burrows Stephen Campbell Moore Daniel Mays James Faulkner,Roger Donaldson,The Bank Job,2008-02-28,2151
2152,Science Fiction Drama Romance,deja vu regret jealousy amnesia dream,You can erase someone from your mind. Getting them out of your heart is another story.,Jim Carrey Kate Winslet Kirsten Dunst Mark Ruffalo Elijah Wood,Michel Gondry,Eternal Sunshine of the Spotless Mind,2004-03-19,2152
2153,Comedy Romance,brother sister relationship marriage bully duringcreditsstinger,What doesn't kill you... is going to marry your brother.,Kristen Bell Sigourney Weaver Betty White Kristin Chenoweth Odette Annable,Andy Fickman,You Again,2010-09-24,2153
2154,Action Crime Drama Thriller,police los angeles,Their city. Their rules. No prisoners.,Keanu Reeves Forest Whitaker Chris Evans Hugh Laurie Martha Higareda,David Ayer,Street Kings,2008-04-10,2154
2155,Comedy Action Science Fiction,end of the world apocalypse trilogy homage,Good food. Fine ales. Total Annihilation.,Simon Pegg Nick Frost Martin Freeman Eddie Marsan Paddy Considine,Edgar Wright,The World's End,2013-07-18,2155
2156,Action Adventure Crime Family Mystery,california detective based on novel dream kidnapping,Small Town Girl. Big Time Adventure.,Emma Roberts Josh Flitter Max Thieriot Rachael Leigh Cook Tate Donovan,Andrew Fleming,Nancy Drew,2007-06-15,2156
2157,Fantasy Horror Action Thriller Science Fiction,female nudity sunrise waitress experiment rain,"In 2019, The Most Precious Natural Resource... Is Us.",Ethan Hawke Sam Neill Willem Dafoe Claudia Karvan Isabel Lucas,Michael Spierig,Daybreakers,2009-01-06,2157
2158,Comedy Romance,confidence romantic comedy dating insecurity airport security,"When she's this hot, You get one shot.",Alice Eve Jay Baruchel Mike Vogel Krysten Ritter Debra Jo Rupp,Jim Field Smith,She's Out of My League,2010-03-11,2158
2159,Adventure Comedy Romance,monte carlo mistaken identity look-alike young woman texan,She's having the time of someone else's life.,Selena Gomez Katie Cassidy Cory Monteith Leighton Meester Andie MacDowell,Thomas Bezucha,Monte Carlo,2011-07-01,2159
2160,Horror Thriller,video game hacker virtual reality virtual fight baroness,You die in the game - you die for real.,Jon Foster Samaire Armstrong Frankie Muniz Jimmi Simpson Wendell Pierce,William Brent Bell,Stay Alive,2006-03-24,2160
2161,Romance Action Adventure Western Drama,australian chase,There's a price on his head. A girl on his mind. And a twinkle in his eye.,Tom Selleck Laura San Giacomo Alan Rickman Chris Haywood Ron Haddrick,Simon Wincer,Quigley Down Under,1990-10-17,2161
2162,Family Animation,wolf arranged marriage forbidden love road trip park,A Pawsome 3D Adventure,Hayden Panettiere Justin Long Dennis Hopper Christina Ricci Danny Glover,Ben Gluck,Alpha and Omega,2010-09-17,2162
2163,Action Adventure Fantasy Horror Science Fiction,magic male friendship college supernatural powers teenager,Only the power of Hell can help them.,Steven Strait Laura Ramsey Jessica Lucas Taylor Kitsch Chace Crawford,Renny Harlin,The Covenant,2006-09-08,2163
2164,Comedy Drama,gymnastics trainer puberty training sport,The world of competitive gymnastics is about to be turned on its head.,Jeff Bridges Missy Peregrym Vanessa Lengies Maddy Curley Nikki SooHoo,Jessica Bendinger,Stick It,2006-04-21,2164
2165,Comedy Family,,Not So TALL Tales From The Director Of 'Spy Kids',Jimmy Bennett Kat Dennings Jolie Vanier William H. Macy James Spader,Robert Rodriguez,Shorts,2009-08-21,2165
2166,Fantasy Drama Comedy Thriller,adultery winter obsession television new hampshire,All she wanted was a little attention.,Nicole Kidman Matt Dillon Joaquin Phoenix Casey Affleck Illeana Douglas,Gus Van Sant,To Die For,1995-05-20,2166
2167,Mystery Adventure Crime,based on novel technology internet hacking teenager,Are you a watcher or a player?,Emma Roberts Dave Franco Emily Meade Miles Heizer Juliette Lewis,Henry Joost,Nerve,2016-07-27,2167
2168,Drama Western Crime,small town rancher,Feelings get you killed.,Viggo Mortensen Ed Harris Ren\u00e9e Zellweger Jeremy Irons Timothy Spall,Ed Harris,Appaloosa,2008-09-12,2168
2169,Action Drama Fantasy Horror Thriller,based on novel new mexico party vampire hunter revenge,From the Master of Evil. Comes a New Breed of Terror,James Woods Daniel Baldwin Sheryl Lee Thomas Ian Griffith Maximilian Schell,John Carpenter,Vampires,1998-04-15,2169
2170,Drama Horror Thriller,hotel clerk arizona shower rain,The master of suspense moves his cameras into the icy blackness of the unexplored!,Anthony Perkins Vera Miles John Gavin Janet Leigh Martin Balsam,Alfred Hitchcock,Psycho,1960-06-16,2170
2171,Romance Comedy,date sex bar test friendship,It's funny what love can make you do...,Dane Cook Kate Hudson Alec Baldwin Jason Biggs Diora Baird,Howard Deutch,My Best Friend's Girl,2008-09-19,2171
2172,Drama Romance,teenage romance,Say Goodbye to Innocence,Alex Pettyfer Gabriella Wilde Robert Patrick Rhys Wakefield Emma Rigby,Shana Feste,Endless Love,2014-02-12,2172
2173,Comedy Drama Romance,grandmother granddaughter relationship promiscuity mother daughter relationship summer teenager,"In this family, attitude doesn't skip a generation.",Jane Fonda Lindsay Lohan Felicity Huffman Dermot Mulroney Cary Elwes,Garry Marshall,Georgia Rule,2007-05-11,2173
2174,Comedy,,Who knew so many little people would throw such a huge party?,Chevy Chase Carrie Fisher Eve Arden Joseph Maher Robert Donner,Steve Rash,Under the Rainbow,1981-07-31,2174
2175,Adventure Drama Fantasy Romance,moon monk swordplay bishop cathedral,No force in Heaven will release them. No power on Earth can save them.,Matthew Broderick Rutger Hauer Michelle Pfeiffer Alfred Molina John Wood,Richard Donner,Ladyhawke,1985-03-27,2175
2176,Comedy Drama Family,illegitimate son,Destiny has big plans for little Simon Birch.,Jim Carrey Ashley Judd Ian Michael Smith Joseph Mazzello Oliver Platt,Mark Steven Johnson,Simon Birch,1998-09-11,2176
2177,Drama,confidence trauma leaving one's family childhood memory airplane,Let in the unexpected.,Adam Sandler Don Cheadle Jada Pinkett Smith Liv Tyler Saffron Burrows,Mike Binder,Reign Over Me,2007-03-23,2177
2178,Adventure Drama,male nudity parents kids relationship camping cutting the cord self-discovery,Into the heart. Into the soul.,Emile Hirsch Marcia Gay Harden William Hurt Jena Malone Brian H. Dierker,Sean Penn,Into the Wild,2007-09-11,2178
2179,Comedy Drama Romance,date competition lovesickness mentor traffic policeman,Life's A Game. Learn How To Play.,Billy Bob Thornton Jon Heder Jacinda Barrett Sarah Silverman Michael Clarke Duncan,Todd Phillips,School for Scoundrels,2006-09-29,2179
2180,Thriller Horror Mystery,female protagonist another dimension based on video game mall occult ritual,This Halloween prepare for a 3D ride through hell.,Adelaide Clemens Kit Harington Sean Bean Carrie-Anne Moss Radha Mitchell,Michael J. Bassett,Silent Hill: Revelation 3D,2012-10-10,2180
2181,Horror Action Thriller Crime,dancing brother brother relationship sexual obsession showdown sheriff,One night is all that stands between them and freedom. But it's going to be a hell of a night.,George Clooney Quentin Tarantino Harvey Keitel Juliette Lewis Ernest Liu,Robert Rodriguez,From Dusk Till Dawn,1996-01-19,2181
2182,Animation Family,,There's something new in the Hundred Acre Wood.,Jim Cummings John Fiedler Nikita Hopkins Kath Soucie Ken Sansom,Frank Nissen,Pooh's Heffalump Movie,2005-02-11,2182
2183,Comedy Drama Romance,baltimore thanksgiving family clan family conflict generations conflict,We'll do it every year..until we get it right,Holly Hunter Robert Downey Jr. Anne Bancroft Charles Durning Claire Danes,Jodie Foster,Home for the Holidays,1995-11-02,2183
2184,Action Comedy Crime Fantasy,kung fu magic mafia defense gangster,So many gangsters...so little time.,Stephen Chow Yuen Wah Yuen Qiu Lam Tze-Chung Huang Sheng-Yi,Stephen Chow,Kung Fu Hustle,2004-02-10,2184
2185,Adventure Comedy Family,human animal relationship musical clowning bear social satire,It's A Bear Getting The Family Together!,Haley Joel Osment Diedrich Bader Candy Ford James Gammon Brad Garrett,Peter Hastings,The Country Bears,2002-07-26,2185
2186,Drama,1970s afghanistan hang gliding war in afghanistan taliban,There is a way to be good again.,Khalid Abdalla Atossa Leoni Shaun Toub Zekeria Ebrahimi Ahmad Khan Mahmoodzada,Marc Forster,The Kite Runner,2007-10-14,2186
2187,Drama Crime Thriller,life and death transplantation suicide attempt desperation loss of family,How much does life weigh?,Sean Penn Naomi Watts Benicio del Toro Danny Huston Carly Nahon,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,21 Grams,2003-09-06,2187
2188,Action Drama Thriller,independent film,One good shot deserves another.,Cole Hauser Robin Tunney Dennis Farina Daniel Baldwin Tom Sizemore,Paul Abascal,Paparazzi,2004-09-03,2188
2189,Comedy Romance,infidelity bachelor blackmail fantasy truth,Boy meets girl. Boy meets girl's cousin.,Jason Lee Julia Stiles Selma Blair James Brolin Shawn Hatosy,Chris Koch,A Guy Thing,2003-01-17,2189
2190,Drama Comedy Romance Family,college lost and found older brother younger sister woman director young adult,Dare to be different.,Jason Biggs Mena Suvari Zak Orth Thomas Sadoski Jimmi Simpson,Amy Heckerling,Loser,2000-07-21,2190
2191,Documentary,usa capitalism capitalist wall street criticism and blame,"Ask not what your C.E.O. can do for you, but what you can do for your C.E.O.",Michael Moore Thora Birch William Black Elijah Cummings Baron Hill,Michael Moore,Capitalism: A Love Story,2009-09-06,2191
2192,Drama History,jesus christ biography epic,,Max von Sydow Michael Anderson Jr. Carroll Baker Ina Balin Victor Buono,George Stevens,The Greatest Story Ever Told,1965-02-15,2192
2193,Crime Drama Mystery,fbi missing child,The truth lies in the most unexpected places.,Chiwetel Ejiofor Nicole Kidman Julia Roberts Dean Norris Lyndon Smith,Billy Ray,Secret in Their Eyes,2015-10-14,2193
2194,Action Comedy,natural disaster violence mortal danger duringcreditsstinger,Your favorite movies are going to be destroyed.,Matt Lanter Vanessa Lachey Nicole Ari Parker Crista Flanagan Gary 'G. Thang' Johnson,Jason Friedberg,Disaster Movie,2008-08-29,2194
2195,Action Crime Drama Thriller,robbery homeless person bank armored car truck,Who will be the last man standing?,Columbus Short Laurence Fishburne Skeet Ulrich Amaury Nolasco Matt Dillon,Nimr\u00f3d Antal,Armored,2009-12-04,2195
2196,Comedy Thriller Crime Action,london england bomb brother brother relationship helicopter based on novel,"He’s on a mission so secret, even he doesn’t know about it.",Bill Murray Peter Gallagher Joanne Whalley Alfred Molina Richard Wilson,Jon Amiel,The Man Who Knew Too Little,1997-11-14,2196
2197,Comedy Romance,based on novel loser magazine womanizer mission,Ally's looking for the best ex of her life.,Chris Evans Anna Faris Martin Freeman Chris Pratt Ari Graynor,Mark Mylod,What's Your Number?,2011-09-30,2197
2198,Action Thriller Science Fiction,usa president anti hero dementia future space,Take no prisoners.,Guy Pearce Maggie Grace Joseph Gilgun Lennie James Peter Stormare,Stephen St. Leger,Lockout,2012-04-12,2198
